4 3.2604117409925895	25 3.188386131035603	27 3.188386131035603	29 3.188386131035603	33 3.188386131035603	41 3.188386131035603	57 3.188386131035603	26 3.169812691920138	21 3.1680070170221017	5 3.133859543686202	15 3.1234682666558933	6 3.0931888925915816	16 3.0247686702493732	35 2.9729428704021106	24 2.8919815092627634	38 2.8517792510052637	42 2.8517792510052637	0 2.6165124468329153	23 2.4299410581578207	7 2.1272615406496476	
16 3.5704617178922327	15 3.559431740784162	35 3.5038346576599326	25 3.490301810917021	27 3.490301810917021	33 3.490301810917021	41 3.490301810917021	57 3.490301810917021	42 3.4884849631369197	36 3.422522508114255	5 3.356008775690848	26 3.3425687518347456	32 3.3329708754158176	21 3.2272300998193764	38 3.12182084448043	24 2.9460445398845363	34 2.6346827455537793	7 2.4845427869072685	23 2.4680160788871124	3 2.4538525918486047	
6 6.323350333935088	35 6.230779036885182	36 6.1552029527807255	25 6.0770999932705685	33 6.0770999932705685	41 6.0770999932705685	57 6.0770999932705685	5 6.03753434820899	15 5.9150147835725955	4 5.8349540755927345	26 5.826835166425074	32 5.451811997023174	38 5.435523476406602	24 5.1445055522963825	34 4.61338638120718	31 4.526738661778878	39 4.4434955094657855	22 3.6121889292032168	7 3.5086153170070356	3 3.0385499966352842	
5 4.820475584841714	27 4.811339773409765	29 4.811339773409765	41 4.811339773409765	57 4.811339773409765	15 4.776672834671128	36 4.717906805988747	4 4.672257403982077	6 4.667685196824425	32 4.639270316170857	16 4.564437684279987	26 4.546288754812891	35 4.376960723058369	21 4.303393118477067	42 4.303393118477067	24 3.928442474670654	0 3.6429584561866584	34 3.402130980370592	31 3.1111616466742142	3 2.790570066164633	
25 4.7741908479483826	27 4.7741908479483826	29 4.7741908479483826	41 4.7741908479483826	57 4.7741908479483826	6 4.740110674308934	36 4.681479287558632	16 4.67061647539156	4 4.54569383800281	35 4.527008272084103	21 4.354681534900829	38 4.2701661094279775	32 4.256869839755701	24 3.9752621790273417	23 3.5701198957345075	34 3.509493344219267	0 3.0194634127695004	39 3.0194634127695004	31 3.0145792609728077	7 2.850038952383816	
5 2.695694387329892	6 2.63232390089932	16 2.609453184961617	25 2.601533972186463	27 2.601533972186463	29 2.601533972186463	33 2.601533972186463	57 2.601533972186463	36 2.551013940279486	35 2.536177253447536	15 2.5321472285282747	26 2.4582185420326454	4 2.452749750960298	32 2.4341756342161065	21 2.3268827230335916	38 2.3268827230335916	24 2.1241435934575734	34 1.8395623132202235	31 1.760195228894972	0 1.6453545524828717	
32 2.2369035562900046	16 2.194587886026645	35 2.1821206926026115	6 2.1613983522706235	4 2.1522272212060485	15 2.108445575125874	25 1.9717774601895415	27 1.9717774601895415	29 1.9717774601895415	33 1.9717774601895415	41 1.9717774601895415	57 1.9717774601895415	26 1.9576456898323382	36 1.9334868742247875	5 1.895911247390644	7 1.8566397602155524	21 1.76361137499428	38 1.76361137499428	24 1.6099495545951163	23 1.3942572130908126	
4 9.364905151721905	6 9.107998007038299	16 9.031232865072727	36 8.994726634878937	27 8.993971887936109	33 8.993971887936109	41 8.993971887936109	57 8.993971887936109	35 8.917132190131301	26 8.91173381341828	42 8.749865496906024	5 8.716069279028513	38 8.044453011658904	23 6.535110115622205	0 6.288287275480557	30 1.5625686671503685	1 1.0	3 1.0	7 1.0	8 1.0	
25 6.593386849698518	29 6.593386849698518	41 6.593386849698518	36 6.4653477321690005	26 6.408339126255623	5 6.33969935204521	16 6.331732480779615	21 6.318941500507414	35 6.161527465986681	42 6.005769708060958	38 5.89730447915163	32 5.832489808469672	24 5.768377998972421	23 4.662228552408029	0 4.170023987929919	39 4.170023987929919	31 4.082804444435534	7 4.036435017190902	3 3.48086516863473	22 2.948652239575815	
36 6.5455154689976425	25 6.0962567823884966	29 6.0962567823884966	33 6.0962567823884966	41 6.0962567823884966	57 6.0962567823884966	5 6.055954059705783	16 6.00153484520118	15 5.960697536424465	4 5.949284394824267	35 5.821647881560857	32 5.801971945819886	21 5.53717325495878	38 5.452657829485928	24 5.054724494258714	39 4.4556113267194215	34 4.444335131637601	31 4.302802571970793	7 3.9045756738208315	46 2.8944271909999157	
4 4.6898611619111295	6 4.659988196543772	26 4.6319435289901865	25 4.612545546741182	27 4.612545546741182	29 4.612545546741182	33 4.612545546741182	41 4.612545546741182	57 4.612545546741182	35 4.595208786699167	15 4.489522161736348	5 4.435073002775679	24 4.356950144586502	34 4.2848967818358865	32 4.004811038694745	23 3.261562234632501	31 3.103827488642647	0 2.9172299477937558	39 2.9172299477937558	7 2.66305441306043	
36 5.415720357300662	4 5.375628363912447	15 5.262766933371122	6 5.222458631673703	16 5.182549733703381	27 5.144087318207569	29 5.144087318207569	41 5.144087318207569	57 5.144087318207569	21 5.082128340963685	26 5.064014573730576	42 5.02872633593505	32 4.986405046276308	5 4.946163145212037	24 4.639327220803528	38 4.601011570282686	34 4.3981314336487305	39 3.8534064816646527	23 3.6374190257202934	3 3.508510684689952	
25 3.9790756014203996	27 3.9790756014203996	29 3.9790756014203996	33 3.9790756014203996	41 3.9790756014203996	57 3.9790756014203996	15 3.8729477930949656	35 3.831634031217685	5 3.8259764802390253	42 3.808879998101386	26 3.759873031886838	4 3.7515084541577397	21 3.5589934129547487	38 3.5589934129547487	32 3.45480510292802	24 3.2489016238126918	39 3.1165883764985574	23 2.8136313406183047	34 2.8136313406183047	31 2.619922563843796	
36 4.0910000776936455	5 4.013447451139778	21 3.999894359431941	4 3.980556598226197	29 3.9720178452538994	33 3.9720178452538994	41 3.9720178452538994	57 3.9720178452538994	26 3.9421863156662043	15 3.866078277683021	6 3.853423323016491	16 3.768186989350964	35 3.6892245534148573	24 3.651387280497586	32 3.624088858399076	38 3.552680763931983	42 3.552680763931983	34 3.515747534559558	22 2.6707675729659073	7 2.293245572183336	
25 6.046354060922079	27 6.046354060922079	29 6.046354060922079	41 6.046354060922079	57 6.046354060922079	6 5.974290274336154	15 5.885088890535221	16 5.877496467933984	4 5.745100817562499	35 5.684317603526197	21 5.492538903974321	38 5.408023478501469	32 5.341295734168494	24 5.013979092802395	23 4.4696751304042746	34 4.409048578889034	22 3.7738505341120563	31 3.7490630344363103	7 3.490864144689149	3 3.117668148713346	
22 4.32629924678989	15 3.3563614658825385	25 3.281666936551967	27 3.281666936551967	29 3.281666936551967	33 3.281666936551967	41 3.281666936551967	57 3.281666936551967	18 3.196116135138184	6 3.183684566470798	16 3.1132626124714458	26 3.100883785664173	4 3.093985259242106	32 3.0928463406288325	35 2.985390341133143	21 2.9352121398574744	38 2.9352121398574744	42 2.9352121398574744	24 2.679469833438246	0 2.675508408314297	
36 4.199095050897813	6 3.9063671452617426	4 3.892531529469169	25 3.882253520791767	27 3.882253520791767	29 3.882253520791767	33 3.882253520791767	57 3.882253520791767	41 3.8822535207917666	16 3.8656032598080072	35 3.7815478363431705	15 3.778708099996481	26 3.7455364401667386	42 3.730592001098474	21 3.654967297186368	32 3.6537243819974163	22 3.525050937675488	0 3.055352715981968	34 3.0338429254320203	23 2.93942496330866	
36 3.1259208964525995	4 3.049257486757601	6 3.038645313987118	16 3.01707512238415	25 2.987826329791851	27 2.987826329791851	29 2.987826329791851	33 2.987826329791851	41 2.987826329791851	57 2.987826329791851	35 2.967871631998198	42 2.9305920010984745	15 2.908136599864467	26 2.900382185438222	32 2.877144107282096	21 2.854967297186369	38 2.6723931113513135	39 2.4896672910327298	34 2.4013873933983447	23 2.3069694312749847	
4 5.5388219921038075	6 5.36661665933633	36 5.348603091386369	16 5.328907920519992	35 5.316222633367051	26 5.281950075134764	25 5.275640868488374	27 5.275640868488374	29 5.275640868488374	33 5.275640868488374	41 5.275640868488374	57 5.275640868488374	15 5.155052845284924	24 4.898365207622255	34 4.7537759804164015	38 4.718676642726412	23 4.100110209545875	39 3.9366082522984174	7 3.6656719585186606	3 3.3328074501769587	
36 5.833596582172217	25 5.7702391231848775	27 5.7702391231848775	29 5.7702391231848775	33 5.7702391231848775	41 5.7702391231848775	57 5.7702391231848775	16 5.692247337045181	35 5.54168637867651	4 5.536458662294198	26 5.52951514831054	21 5.343632956183122	32 5.273653166269165	38 5.161058770348068	34 4.368850347666758	31 3.7296760092092613	0 3.6494196546154227	39 3.6494196546154227	7 3.425107692217469	3 2.9121564651142324	
